emp_no,first_name,last_name,title,from_date,to_date
52956,Khalil,Picci,Engineer,3/21/1987,11/24/1998
52956,Khalil,Picci,Senior Engineer,11/24/1998,1/1/9999
52956,Khalil,Picci,Engineer,11/24/1998,1/1/9999
52970,Lobel,Werthner,Senior Engineer,3/17/1988,1/1/9999
52970,Lobel,Werthner,Engineer,3/17/1988,1/1/9999
53088,Mechthild,Lamma,Engineer,5/19/1986,6/3/1993
53431,Sham,Vasanthakumar,Senior Staff,10/24/1985,5/24/1993
53278,Premsyl,Lortz,Staff,2/1/1993,1/1/9999
53278,Premsyl,Lortz,Senior Staff,2/1/1993,1/1/9999
53314,Eberhardt,Carrera,Staff,2/23/1999,1/1/9999
53499,Zdislav,Mandelberg,Senior Engineer,9/11/1994,1/1/9999
53499,Zdislav,Mandelberg,Engineer,9/11/1994,1/1/9999
53431,Sham,Vasanthakumar,Senior Staff,5/24/1993,1/1/9999
53746,Manu,Erva,Staff,3/17/1989,4/29/1993
53597,Jiafu,Marchegay,Senior Engineer,3/2/1985,1/1/9999
53597,Jiafu,Marchegay,Engineer,3/2/1985,1/1/9999
53874,Bodo,Schade,Staff,2/14/1986,1/1/9999
53874,Bodo,Schade,Senior Staff,2/14/1986,1/1/9999
53891,Olivera,Pargaonkar,Staff,3/13/1989,3/29/1992
53924,Arnould,Gaughan,Senior Engineer,1/23/1991,1/1/9999
53924,Arnould,Gaughan,Engineer,1/23/1991,1/1/9999
54795,Sumant,Nergos,Staff,3/2/1994,1/1/9999
54198,Shaowen,Segond,Senior Engineer,1/6/1986,1/1/9999
54198,Shaowen,Segond,Engineer,1/6/1986,1/1/9999
54632,Etsuo,Serot,Staff,6/14/1989,1/1/9999
54632,Etsuo,Serot,Senior Staff,6/14/1989,1/1/9999
54795,Sumant,Nergos,Senior Staff,3/2/1994,1/1/9999
54795,Sumant,Nergos,Staff,5/7/1993,3/2/1994
54795,Sumant,Nergos,Senior Staff,5/7/1993,3/2/1994
54800,Breannda,Cangellaris,Staff,1/27/2000,1/1/9999
55121,Toshiko,Alblas,Engineer,7/20/1995,7/23/1996
55640,Adit,Syrotiuk,Senior Engineer,7/16/1993,1/1/9999
55640,Adit,Syrotiuk,Engineer,7/16/1993,1/1/9999
55670,Ulf,Ranft,Senior Staff,3/25/1990,2/26/1996
55670,Ulf,Ranft,Senior Staff,2/26/1996,5/17/1996
55687,Shih,Lindqvist,Senior Engineer,3/29/1995,1/1/9999
56209,Remzi,Douceur,Senior Engineer,12/1/1992,1/1/9999
55799,Jianwen,Litzler,Senior Engineer,6/17/1987,1/1/9999
55799,Jianwen,Litzler,Engineer,6/17/1987,1/1/9999
55857,Adin,Scallan,Staff,9/15/1987,1/1/9999
55857,Adin,Scallan,Senior Staff,9/15/1987,1/1/9999
56105,Makato,Remmers,Senior Engineer,4/16/1989,1/1/9999
56105,Makato,Remmers,Engineer,4/16/1989,1/1/9999
56209,Remzi,Douceur,Engineer,12/1/1992,1/1/9999
56829,Nagui,Gruenwald,Engineer,12/24/1995,6/14/1997
56415,Sigeru,Nivat,Staff,10/24/1991,1/1/9999
56415,Sigeru,Nivat,Senior Staff,10/24/1991,1/1/9999
56428,Olivera,Hanabata,Staff,11/10/1986,1/1/9999
56428,Olivera,Hanabata,Senior Staff,11/10/1986,1/1/9999
56682,Roded,Picco,Assistant Engineer,11/6/1993,1/1/9999
56829,Nagui,Gruenwald,Engineer,6/14/1997,1/1/9999
56847,Menkae,Chinin,Senior Engineer,8/19/1989,8/27/1998
56847,Menkae,Chinin,Senior Engineer,8/27/1998,1/1/9999
57934,Sanjoy,Boudaillier,Senior Engineer,12/27/1989,1/1/9999
58141,Bezalel,Karner,Staff,9/27/1994,1/1/9999
58147,Shigenori,Sullins,Senior Staff,2/24/1988,1/1/9999
58217,Kiyotoshi,Kusalik,Engineer,11/19/1998,6/26/1999
58384,Mariusz,Vural,Senior Engineer,11/14/1993,1/1/9999
58384,Mariusz,Vural,Engineer,11/14/1993,1/1/9999
57934,Sanjoy,Boudaillier,Engineer,12/27/1989,1/1/9999
57982,Paloma,Benzaken,Senior Staff,10/17/1989,9/11/1998
58601,Sungwon,Asser,Staff,1/27/2000,4/1/2000
58454,Ziya,Zambonelli,Engineer,6/29/1999,1/1/9999
58497,Yechiam,Cairo,Senior Staff,10/21/2000,1/1/9999
58497,Yechiam,Cairo,Senior Staff,7/12/1996,10/21/2000
58990,Palash,Trelles,Engineer,11/18/1998,1/1/9999
58819,Gennady,Liesche,Senior Staff,12/2/1987,1/1/9999
59195,Ronnie,Pollock,Technique Leader,6/19/1990,1/1/9999
59869,Zsolt,Riefers,Staff,9/25/1987,1/1/9999
59329,Zissis,Bazzichi,Staff,2/7/1987,1/25/1991
59640,Zita,Hiltgen,Staff,1/26/1999,1/1/9999
59661,Saeko,Baik,Staff,10/11/1997,8/15/1999
59661,Saeko,Baik,Staff,5/23/1996,10/11/1997
59869,Zsolt,Riefers,Senior Staff,9/25/1987,1/1/9999
59966,Steen,Salvesen,Technique Leader,2/3/1993,1/1/9999
60000,Heekeun,Emmart,Engineer,9/23/1995,1/1/9999
60000,Heekeun,Emmart,Assistant Engineer,9/23/1995,1/1/9999
60238,Erzsebet,Claffy,Staff,2/19/1999,1/1/9999
60091,Surveyors,Bade,Staff,4/11/1990,1/1/9999
60091,Surveyors,Bade,Senior Staff,4/11/1990,1/1/9999
60238,Erzsebet,Claffy,Staff,3/3/1997,2/19/1999
60559,Jeanna,Stemann,Senior Engineer,8/29/1988,1/1/9999
60559,Jeanna,Stemann,Engineer,8/29/1988,1/1/9999
60821,Moty,Mersereau,Staff,9/3/1991,1/1/9999
60821,Moty,Mersereau,Senior Staff,9/3/1991,1/1/9999
60845,Bedir,Siegrist,Engineer,5/13/1997,1/1/9999
60875,Rildo,Masaki,Senior Engineer,1/14/1990,1/1/9999
60875,Rildo,Masaki,Engineer,1/14/1990,1/1/9999
61377,Dannz,Ohori,Staff,4/13/1997,1/1/9999
60959,Tetsushi,Sridhar,Staff,10/19/1989,1/1/9999
60959,Tetsushi,Sridhar,Senior Staff,10/19/1989,1/1/9999
60959,Tetsushi,Sridhar,Staff,1/12/1989,10/19/1989
60959,Tetsushi,Sridhar,Senior Staff,1/12/1989,10/19/1989
61147,Leszek,Werthner,Staff,3/3/1999,1/1/9999
61253,Cheong,Uhrik,Senior Engineer,6/4/1996,5/9/2002
61253,Cheong,Uhrik,Engineer,6/4/1996,5/9/2002
61253,Cheong,Uhrik,Senior Engineer,5/9/2002,1/1/9999
61253,Cheong,Uhrik,Engineer,5/9/2002,1/1/9999
61377,Dannz,Ohori,Senior Staff,4/13/1997,1/1/9999
61377,Dannz,Ohori,Staff,1/18/1988,4/13/1997
61377,Dannz,Ohori,Senior Staff,1/18/1988,4/13/1997
61680,Hauke,Templeman,Staff,10/23/1991,2/21/1999
61541,Kasidit,Papsdorf,Senior Engineer,8/17/1993,1/1/9999
61541,Kasidit,Papsdorf,Engineer,8/17/1993,1/1/9999
61873,Woody,Rusmann,Engineer,2/26/1993,1/1/9999
61873,Woody,Rusmann,Assistant Engineer,2/26/1993,1/1/9999
61983,Sastry,Reeken,Staff,7/24/1990,5/17/1992
62167,Mihalis,Haldar,Senior Engineer,5/11/1998,2/3/2001
62033,Heeju,Cappelli,Senior Engineer,1/15/1987,1/1/9999
62033,Heeju,Cappelli,Engineer,1/15/1987,1/1/9999
62046,Karlis,Nanard,Senior Engineer,9/19/1992,1/1/9999
62046,Karlis,Nanard,Engineer,9/19/1992,1/1/9999
62245,Adel,Bressoud,Engineer,8/30/1995,1/1/9999
63294,Tetsushi,Tanemo,Senior Engineer,3/1/1997,1/1/9999
62384,Akeel,Litzler,Senior Staff,10/23/1999,12/21/2001
63294,Tetsushi,Tanemo,Engineer,3/1/1997,1/1/9999
63566,Heekeun,Slaats,Senior Staff,1/12/1999,1/1/9999
63419,Hiroyasu,Seuren,Senior Engineer,3/5/1989,1/1/9999
63441,Hinrich,Scallan,Staff,4/4/1999,1/1/9999
63631,Falguni,Cherinka,Senior Engineer,9/8/1986,10/15/1987
63444,Padma,Peres,Staff,2/20/1985,12/22/1994
63444,Padma,Peres,Senior Staff,2/20/1985,12/22/1994
63631,Falguni,Cherinka,Senior Engineer,10/15/1987,1/1/9999
64209,Golgen,Schoegge,Senior Staff,2/26/1988,1/1/9999
63706,Sedat,Itzigehl,Engineer,7/31/1997,1/1/9999
64023,Laurentiu,Benzmuller,Senior Engineer,11/8/1999,1/1/9999
64431,Faiza,Zongker,Technique Leader,12/10/1995,12/3/2001
64487,Tsutomu,Rebaine,Senior Engineer,9/17/1986,1/1/9999
64487,Tsutomu,Rebaine,Engineer,9/17/1986,1/1/9999
64532,Atilio,Segond,Senior Engineer,11/29/1990,1/1/9999
64532,Atilio,Segond,Engineer,11/29/1990,1/1/9999
64790,Shin,Piveteau,Senior Engineer,4/19/1985,1/1/9999
64632,Zsolt,Brender,Senior Staff,2/21/1996,1/1/9999
64790,Shin,Piveteau,Engineer,4/19/1985,1/1/9999
64828,Krister,Pappas,Staff,9/30/1999,1/1/9999
64984,Eldridge,Eldridge,Senior Engineer,6/24/1986,8/4/1994
64984,Eldridge,Eldridge,Engineer,6/24/1986,8/4/1994
64984,Eldridge,Eldridge,Senior Engineer,8/4/1994,1/1/9999
64984,Eldridge,Eldridge,Engineer,8/4/1994,1/1/9999
65013,Chandrasekaran,Peral,Senior Engineer,2/28/1985,12/14/2001
65013,Chandrasekaran,Peral,Engineer,2/28/1985,12/14/2001
65998,Mandell,Alameldin,Staff,4/8/1989,1/1/9999
65171,Jeane,Tasistro,Technique Leader,7/6/1994,1/1/9999
65539,Aksel,Picaronny,Senior Engineer,1/27/1991,1/1/9999
65539,Aksel,Picaronny,Engineer,1/27/1991,1/1/9999
65883,Patricia,Pepe,Staff,4/19/1991,1/1/9999
65883,Patricia,Pepe,Senior Staff,4/19/1991,1/1/9999
65998,Mandell,Alameldin,Senior Staff,4/8/1989,1/1/9999
66382,Domenico,Candan,Engineer,7/13/1997,1/1/9999
66643,Jianhao,Tomescu,Engineer,8/26/1996,1/1/9999
66702,Deniz,Thibadeau,Senior Engineer,9/27/1994,1/1/9999
66530,Dung,Leaver,Staff,4/4/1998,1/1/9999
66702,Deniz,Thibadeau,Engineer,9/27/1994,1/1/9999
66757,Yonghong,Baig,Staff,4/10/1999,1/1/9999
66807,Aiman,Rosaz,Senior Engineer,5/22/1990,1/1/9999
66807,Aiman,Rosaz,Engineer,5/22/1990,1/1/9999
67320,Sadok,Lorys,Senior Staff,5/10/1987,1/1/9999
67548,Fumitaka,Roohalamini,Staff,6/27/1998,1/1/9999
67934,Aiman,Gargeya,Senior Engineer,3/7/1985,1/1/9999
68022,Kristinn,Pearson,Staff,5/7/1995,6/26/1999
67934,Aiman,Gargeya,Engineer,3/7/1985,1/1/9999
68168,Marl,Thiria,Staff,3/18/1987,12/31/1996
68263,Fumiko,Bodoff,Staff,12/19/1991,7/11/1993
68168,Marl,Thiria,Senior Staff,3/18/1987,12/31/1996
68416,Munenori,Debuse,Senior Engineer,11/8/1990,1/1/9999
69052,Shietung,Shrader,Senior Staff,8/5/1995,1/1/9999
68608,Yucai,Seghrouchni,Senior Engineer,6/9/1989,1/1/9999
68608,Yucai,Seghrouchni,Engineer,6/9/1989,1/1/9999
68633,Chinhyun,Rassart,Senior Engineer,7/29/1993,1/1/9999
68648,Jaques,DiGiano,Technique Leader,4/1/1992,1/1/9999
69219,Shuky,Redmiles,Senior Staff,11/19/1994,1/1/9999
69219,Shuky,Redmiles,Senior Staff,7/6/1994,11/19/1994
71141,Sajjad,Vitiello,Staff,2/17/1992,1/1/9999
69867,Miyeon,Rothe,Staff,4/9/1991,1/1/9999
69867,Miyeon,Rothe,Senior Staff,4/9/1991,1/1/9999
69878,Chinya,Cooke,Engineer,1/29/1997,1/1/9999
69936,Lalit,Unni,Assistant Engineer,1/31/1999,1/1/9999
69936,Lalit,Unni,Assistant Engineer,12/6/1998,1/31/1999
70469,Tru,Miyakawa,Staff,9/3/1990,1/1/9999
70469,Tru,Miyakawa,Senior Staff,9/3/1990,1/1/9999
70780,Behnaam,Angelov,Assistant Engineer,1/29/1995,7/20/1999
70990,Arumugam,Nitta,Senior Engineer,3/23/1990,1/1/9999
71066,Domenick,Basart,Staff,1/5/1996,1/1/9999
71066,Domenick,Basart,Senior Staff,1/5/1996,1/1/9999
71141,Sajjad,Vitiello,Senior Staff,2/17/1992,1/1/9999
71188,Pranjal,Schapiro,Staff,12/14/1986,1/1/9999
71188,Pranjal,Schapiro,Senior Staff,12/14/1986,1/1/9999
71685,Kristinn,Olano,Senior Engineer,10/3/1989,1/1/9999
71243,Kinh,Buchter,Senior Engineer,3/29/1986,1/1/9999
71243,Kinh,Buchter,Engineer,3/29/1986,1/1/9999
71334,Cathie,Peck,Senior Engineer,4/12/1993,3/4/2001
71334,Cathie,Peck,Engineer,4/12/1993,3/4/2001
71334,Cathie,Peck,Senior Engineer,3/4/2001,1/1/9999
71334,Cathie,Peck,Engineer,3/4/2001,1/1/9999
71710,Hitomi,Takanami,Assistant Engineer,12/15/1997,1/1/9999
71745,Adil,Laventhal,Engineer,5/13/1992,1/1/9999
71745,Adil,Laventhal,Assistant Engineer,5/13/1992,1/1/9999
72232,Naraig,Veldwijk,Senior Engineer,7/10/1989,1/1/9999
72232,Naraig,Veldwijk,Engineer,7/10/1989,1/1/9999
72640,Honglan,Hutton,Senior Engineer,10/4/1993,1/1/9999
72190,Sajjad,Waeselynck,Engineer,9/13/1999,1/1/9999
72194,Feiyu,Siepmann,Senior Engineer,10/1/1998,1/1/9999
72640,Honglan,Hutton,Engineer,10/4/1993,1/1/9999
72918,Takahira,Szilard,Staff,1/16/1988,1/1/9999
72918,Takahira,Szilard,Senior Staff,1/16/1988,1/1/9999
73076,Froduald,Feldhoffer,Senior Engineer,3/16/1993,1/1/9999
73743,Anneke,Bernardeschi,Engineer,11/1/1999,10/15/2000
73233,Shigeo,Merey,Senior Engineer,7/30/1985,1/1/9999
73516,Qingxiang,Badache,Senior Engineer,6/25/1989,1/1/9999
73516,Qingxiang,Badache,Engineer,6/25/1989,1/1/9999
73743,Anneke,Bernardeschi,Engineer,10/15/2000,1/1/9999
74237,Jaihie,Vilarrasa,Engineer,3/3/1992,6/20/2001
73794,Aiichiro,Castellani,Engineer,8/26/1985,8/19/1987
73903,Bartek,Cappello,Engineer,7/28/1988,1/2/1993
74237,Jaihie,Vilarrasa,Assistant Engineer,3/3/1992,6/20/2001
74344,Hiroyasu,Provine,Engineer,11/25/1994,1/1/9999
74668,Masako,Bonifati,Senior Staff,4/9/1987,1/1/9999
74200,Holgard,Weiland,Senior Engineer,9/24/1991,1/1/9999
74598,Kolar,Garigliano,Senior Staff,5/10/1992,3/7/1999
75703,Kyoichi,Erman,Senior Engineer,7/25/1996,1/1/9999
74800,Yuuichi,Conde,Senior Engineer,3/8/1989,1/1/9999
74800,Yuuichi,Conde,Engineer,3/8/1989,1/1/9999
74800,Yuuichi,Conde,Assistant Engineer,3/8/1989,1/1/9999
75113,Zissis,Birch,Senior Engineer,8/19/1994,7/15/2000
75113,Zissis,Birch,Engineer,8/19/1994,7/15/2000
75354,Shuky,Jakobus,Senior Engineer,6/16/1986,1/1/9999
75354,Shuky,Jakobus,Engineer,6/16/1986,1/1/9999
75420,Clyde,Vrecion,Engineer,7/3/1997,9/14/2000
75703,Kyoichi,Erman,Engineer,7/25/1996,1/1/9999
75760,Jahangir,Radhakrishnan,Technique Leader,4/19/1991,12/29/1993
75888,Marsal,Otillio,Staff,1/23/1994,9/16/1999
76178,Chiradeep,Meriste,Senior Engineer,5/23/1988,6/25/1997
76189,Kolar,Hinsberger,Senior Engineer,10/20/1986,1/1/9999
76189,Kolar,Hinsberger,Engineer,10/20/1986,1/1/9999
76417,Parviz,Duclos,Senior Engineer,12/27/1989,12/31/1993
76201,Arif,Preusig,Senior Engineer,4/2/1992,1/1/9999
76640,Tristan,Mitsuhashi,Senior Engineer,7/13/1994,1/1/9999
76640,Tristan,Mitsuhashi,Engineer,7/13/1994,1/1/9999
76847,Mariusz,Weiland,Senior Engineer,8/16/1989,11/9/1994
77030,Faiza,Garnham,Technique Leader,3/2/1986,1/1/9999
77157,Tesuro,Nicolson,Staff,6/1/1996,10/20/1999
77815,Ronghao,Picaronny,Engineer,6/9/1993,1/1/9999
76598,Keung,Ferriere,Engineer,5/13/1991,10/8/1995
77303,Xinglin,Birge,Staff,3/5/1992,1/1/9999
77303,Xinglin,Birge,Senior Staff,3/5/1992,1/1/9999
77647,Niranjan,Schaaf,Technique Leader,11/5/1989,1/1/9999
77815,Ronghao,Picaronny,Assistant Engineer,6/9/1993,1/1/9999
78086,Fabrizio,Anick,Staff,12/16/1997,5/2/1998
78106,Ashish,Ratnaker,Senior Staff,1/17/2000,1/1/9999
78106,Ashish,Ratnaker,Senior Staff,11/10/1986,1/17/2000
78171,Teiji,Hinsberger,Senior Staff,1/25/1997,5/18/2002
78363,Susumu,Fritzsche,Engineer,6/23/1998,1/1/9999
79190,Tsuneo,Servi,Staff,6/30/1999,6/2/2001
78469,Leucio,Cappelli,Staff,8/22/1997,1/1/9999
78871,Conor,Ghandeharizadeh,Senior Engineer,5/25/1985,1/1/9999
79043,Katsuo,Hockney,Technique Leader,11/7/1999,1/1/9999
79239,Denny,Griswold,Senior Engineer,5/18/1989,11/19/2001
79310,Jeong,Cunliffe,Senior Staff,10/27/1996,1/1/9999
79171,Guiseppe,Ellozy,Senior Engineer,1/12/1991,1/1/9999
79606,Arnd,Peir,Senior Engineer,12/11/1986,1/1/9999
79763,Sanjoy,Barreiro,Staff,4/9/1988,1/1/9999
79763,Sanjoy,Barreiro,Senior Staff,4/9/1988,1/1/9999
80067,Kazuhisa,Weiland,Staff,11/9/1985,1/1/9999
79640,Marl,Litzkow,Staff,10/12/1991,10/22/1993
79722,Make,Remmers,Staff,8/7/1997,8/8/1998
79895,Fei,Murtagh,Senior Staff,1/19/1986,1/1/9999
80067,Kazuhisa,Weiland,Senior Staff,11/9/1985,1/1/9999
80432,Stella,Figueira,Staff,3/14/1990,1/1/9999
80203,Shakhar,Baik,Staff,12/1/1993,1/1/9999
80432,Stella,Figueira,Senior Staff,3/14/1990,1/1/9999
80656,Kwan,Gide,Engineer,6/24/1998,7/1/2001
80731,Shaowen,Eldridge,Staff,12/5/1987,1/1/9999
80731,Shaowen,Eldridge,Senior Staff,12/5/1987,1/1/9999
80889,Shigeo,Linnainmaa,Senior Engineer,7/30/1985,1/1/9999
80948,Harjit,Bardell,Senior Engineer,5/24/1991,1/1/9999
80745,Rimli,Huttel,Staff,12/14/1989,11/29/1996
80948,Harjit,Bardell,Engineer,5/24/1991,1/1/9999
81619,Gen,Aloisi,Senior Engineer,3/12/1985,7/25/2002
80850,Koldo,Luit,Senior Engineer,4/16/1995,1/1/9999
80850,Koldo,Luit,Engineer,4/16/1995,1/1/9999
81105,Jaewon,Boissier,Senior Engineer,5/24/1992,1/1/9999
81105,Jaewon,Boissier,Engineer,5/24/1992,1/1/9999
81162,Marco,Klerer,Senior Engineer,11/1/1993,2/28/1995
81162,Marco,Klerer,Engineer,11/1/1993,2/28/1995
81162,Marco,Klerer,Senior Engineer,2/28/1995,2/2/2001
81162,Marco,Klerer,Engineer,2/28/1995,2/2/2001
81545,Larisa,Kornyak,Technique Leader,2/7/2000,1/1/9999
81545,Larisa,Kornyak,Technique Leader,3/10/1996,2/7/2000
81619,Gen,Aloisi,Engineer,3/12/1985,7/25/2002
81644,Divine,Ghandeharizadeh,Staff,11/28/1997,1/1/9999
81995,Sreekrishna,Brender,Senior Engineer,3/22/1990,1/1/9999
81995,Sreekrishna,Brender,Engineer,3/22/1990,1/1/9999
82511,Uwe,Koblick,Engineer,4/4/1998,1/1/9999
82069,Yechezkel,Perfilyeva,Senior Engineer,11/3/1994,1/1/9999
82069,Yechezkel,Perfilyeva,Engineer,11/3/1994,1/1/9999
82098,Poornachandra,Wilharm,Senior Engineer,4/20/1991,1/1/9999
82098,Poornachandra,Wilharm,Engineer,4/20/1991,1/1/9999
82351,Stevo,Thambidurai,Senior Staff,10/27/1989,1/1/9999
83509,Breannda,Collavizza,Senior Engineer,10/12/1989,1/1/9999
82919,Shigeu,Claffy,Engineer,12/19/1998,1/1/9999
82919,Shigeu,Claffy,Engineer,2/3/1998,12/19/1998
82928,Alselm,Rikino,Senior Engineer,11/16/1990,1/1/9999
82928,Alselm,Rikino,Engineer,11/16/1990,1/1/9999
83280,Francesca,Ellozy,Senior Engineer,8/8/1999,1/1/9999
83289,Shigeichiro,Engelmann,Senior Engineer,1/9/1994,1/1/9999
83289,Shigeichiro,Engelmann,Engineer,1/9/1994,1/1/9999
83509,Breannda,Collavizza,Engineer,10/12/1989,1/1/9999
83544,Leaf,Baak,Staff,9/5/1994,1/1/9999
83544,Leaf,Baak,Senior Staff,9/5/1994,1/1/9999
83805,Manohar,Harllee,Senior Engineer,3/11/1987,1/1/9999
83714,Ohad,Kilgore,Senior Engineer,7/1/1990,10/10/2000
83714,Ohad,Kilgore,Engineer,7/1/1990,10/10/2000
83714,Ohad,Kilgore,Senior Engineer,10/10/2000,1/1/9999
83714,Ohad,Kilgore,Engineer,10/10/2000,1/1/9999
84029,Babette,Eugenio,Staff,9/21/1997,1/1/9999
83922,Shunichi,Solovay,Senior Engineer,6/7/1986,11/18/1998
83922,Shunichi,Solovay,Engineer,6/7/1986,11/18/1998
83941,Zsolt,Hagimont,Staff,10/8/1996,1/1/9999
83941,Zsolt,Hagimont,Senior Staff,10/8/1996,1/1/9999
84315,Kristina,Baumann,Assistant Engineer,9/26/1996,1/1/9999
84163,Zejun,Roisin,Senior Staff,5/26/1997,1/16/2002
84179,Shuichi,Nanard,Senior Engineer,3/14/1989,1/1/9999
84236,Eberhardt,Barriga,Staff,6/4/1987,1/1/9999
84236,Eberhardt,Barriga,Senior Staff,6/4/1987,1/1/9999
84256,Denny,Cheshire,Staff,11/23/1989,8/8/1992
84922,Parke,Unno,Engineer,7/1/1996,1/1/9999
84451,Shiv,Aumann,Senior Engineer,6/14/1998,1/1/9999
84494,Janalee,Loncour,Staff,4/12/1986,9/4/1987
84508,Tommaso,Vidya,Engineer,5/2/1998,1/1/9999
84942,Shin,Fujisaki,Technique Leader,2/23/1988,1/1/9999
84840,Sverrir,Neimat,Staff,11/3/1996,1/1/9999
85216,Ferdinand,Rosiles,Senior Staff,7/8/1997,1/1/9999
85445,Yongdong,Pollock,Staff,3/17/1998,1/1/9999
85288,Younwoo,Luders,Senior Engineer,3/31/1995,12/8/1998
85288,Younwoo,Luders,Engineer,3/31/1995,12/8/1998
85288,Younwoo,Luders,Senior Engineer,12/8/1998,1/1/9999
85288,Younwoo,Luders,Engineer,12/8/1998,1/1/9999
86213,Kristine,Clemencon,Staff,6/1/1993,1/1/9999
85414,Chiradeep,Callaway,Staff,7/30/1999,1/1/9999
85702,Udi,Merks,Engineer,8/15/1997,1/1/9999
85874,Pasqua,Taubman,Senior Staff,6/23/1986,1/1/9999
86213,Kristine,Clemencon,Senior Staff,6/1/1993,1/1/9999
86324,Maia,Berstel,Senior Engineer,7/17/1988,9/29/1997
86324,Maia,Berstel,Engineer,7/17/1988,9/29/1997
86324,Maia,Berstel,Senior Engineer,9/29/1997,1/13/2002
86324,Maia,Berstel,Engineer,9/29/1997,1/13/2002
86213,Kristine,Clemencon,Staff,4/22/1990,6/1/1993
86213,Kristine,Clemencon,Senior Staff,4/22/1990,6/1/1993
86422,Jaewon,Thummel,Staff,9/14/1985,1/1/9999
86354,Ronghao,Segond,Senior Engineer,9/13/1993,1/1/9999
86422,Jaewon,Thummel,Senior Staff,9/14/1985,1/1/9999
86546,Oldrich,Woycyznski,Senior Engineer,5/15/1985,1/1/9999
86655,Zhenhua,Lorys,Engineer,8/21/1995,1/1/9999
86546,Oldrich,Woycyznski,Engineer,5/15/1985,1/1/9999
87129,Keung,Neiman,Staff,4/13/1997,1/1/9999
86672,JoAnne,Anido,Staff,9/15/1995,1/1/9999
87353,Quingbo,Coombs,Senior Engineer,1/17/1999,1/1/9999
88411,Lena,Cannane,Engineer,1/28/2000,1/1/9999
87458,Mikhail,Gimbel,Senior Staff,12/22/1993,4/29/1999
87714,Khun,Janetzko,Engineer,9/13/1989,1/1/9999
87714,Khun,Janetzko,Assistant Engineer,9/13/1989,1/1/9999
87729,Yongmin,Roccetti,Staff,12/10/1986,1/1/9999
87729,Yongmin,Roccetti,Senior Staff,12/10/1986,1/1/9999
87783,Conor,Thorensen,Senior Engineer,2/24/1988,1/1/9999
88103,Goo,Bresenham,Senior Staff,1/31/1999,1/1/9999
88422,Jungsoon,Birsak,Technique Leader,4/3/1985,1/1/9999
89048,Otmar,Birjandi,Senior Engineer,3/23/1985,1/1/9999
88357,Manohar,Karcich,Staff,8/7/1998,8/22/2000
88647,Vasiliy,Ratnaker,Engineer,8/9/1995,1/1/9999
89048,Otmar,Birjandi,Engineer,3/23/1985,1/1/9999
89090,Tetsushi,Theuretzbacher,Staff,2/1/1990,1/1/9999
88958,Vojin,Coombs,Staff,7/23/1995,1/1/9999
88958,Vojin,Coombs,Senior Staff,7/23/1995,1/1/9999
88965,Mang,Hedayat,Engineer,5/22/1995,1/1/9999
89090,Tetsushi,Theuretzbacher,Senior Staff,2/1/1990,1/1/9999
89346,Mansur,Comyn,Engineer,8/31/1999,1/1/9999
89161,Conal,Yetto,Staff,1/12/1991,1/1/9999
89161,Conal,Yetto,Senior Staff,1/12/1991,1/1/9999
89207,Along,Erol,Staff,10/16/1992,1/1/9999
89207,Along,Erol,Senior Staff,10/16/1992,1/1/9999
89590,Guther,Rothenberg,Staff,8/8/1991,1/1/9999
89487,Kazuhira,Seiwald,Engineer,3/25/1995,3/24/1999
89590,Guther,Rothenberg,Senior Staff,8/8/1991,1/1/9999
89664,Pranjal,Rossi,Staff,7/7/1998,1/1/9999
89680,Aiman,Mawatari,Senior Engineer,5/1/1988,1/1/9999
89680,Aiman,Mawatari,Engineer,5/1/1988,1/1/9999
89922,Alexius,Ibel,Senior Engineer,4/24/1988,1/1/9999
89806,Xiadong,Shinomoto,Senior Engineer,5/24/1997,1/1/9999
89806,Xiadong,Shinomoto,Engineer,5/24/1997,1/1/9999
89922,Alexius,Ibel,Engineer,4/24/1988,1/1/9999
89941,Arnould,Weedman,Senior Staff,7/28/1989,1/1/9999
90116,Brigham,Luiz,Assistant Engineer,4/10/1990,6/10/1995
90211,Bader,Denis,Engineer,10/6/1997,1/1/9999
90077,Vivian,Guerreiro,Engineer,7/8/1991,1/1/9999
90077,Vivian,Guerreiro,Assistant Engineer,7/8/1991,1/1/9999
90084,Renny,Bale,Senior Engineer,11/22/1989,1/1/9999
90084,Renny,Bale,Engineer,11/22/1989,1/1/9999
90518,Fumiko,Chepyzhov,Staff,1/28/1988,1/1/9999
90292,Koichi,Assaf,Senior Engineer,5/26/1990,1/1/9999
90292,Koichi,Assaf,Engineer,5/26/1990,1/1/9999
90366,Magy,Eiron,Senior Staff,8/3/1998,3/3/2002
90614,Yonghoan,Trogemann,Engineer,9/23/1988,1/1/9999
90614,Yonghoan,Trogemann,Assistant Engineer,9/23/1988,1/1/9999
90692,Rajmohan,DasSarma,Staff,9/14/1985,1/1/9999
90692,Rajmohan,DasSarma,Senior Staff,9/14/1985,1/1/9999
90518,Fumiko,Chepyzhov,Senior Staff,1/28/1988,1/1/9999
91172,Kazuhisa,Melter,Staff,7/16/1987,1/1/9999
91172,Kazuhisa,Melter,Senior Staff,7/16/1987,1/1/9999
91182,Lucien,Schwartzburd,Senior Engineer,8/25/1988,1/1/9999
91182,Lucien,Schwartzburd,Engineer,8/25/1988,1/1/9999
